room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
16673548,27160441,Private room,,24,0,0.0,2,1.0,44.0,,56.165892,10.229472,2017-01-21 11:22:15.345506
16778852,111432825,Private room,,2,0,0.0,2,1.0,59.0,,56.136158,10.169439,2017-01-21 11:22:15.336609
5020480,25902450,Private room,,4,1,0.0,2,1.0,59.0,,56.176554,10.191358,2017-01-21 11:22:15.332626
16687554,29203934,Private room,,24,0,0.0,2,1.0,59.0,,56.16128,10.21028,2017-01-21 11:22:15.329713
13577077,39309820,Private room,,3,0,0.0,2,1.0,44.0,,56.175238,10.159555,2017-01-21 11:22:13.879511
2920653,14915702,Private room,,24,88,5.0,2,1.0,52.0,,56.163717,10.202791,2017-01-21 11:22:13.872367
13242112,42041017,Private room,,5,16,4.5,2,1.0,52.0,,56.19963,10.241168,2017-01-21 11:22:13.867029
13424715,76528409,Private room,,24,18,4.0,2,1.0,59.0,,56.158399,10.184433,2017-01-21 11:22:12.822751
16671332,29161562,Private room,,2,1,0.0,2,1.0,49.0,,56.140512,10.181986,2017-01-21 11:22:12.813018
7507734,2060978,Private room,,2,4,5.0,2,1.0,36.0,,56.135716,10.172731,2017-01-21 11:22:11.394579
13708149,31746203,Private room,,1,1,0.0,2,1.0,39.0,,56.140678,10.194505,2017-01-21 11:22:11.392284
13649020,5419993,Private room,,24,5,5.0,2,1.0,13.0,,56.146813,10.191459,2017-01-21 11:22:10.295089
5382342,27899261,Private room,,24,0,0.0,2,1.0,15.0,,56.152744,10.206245,2017-01-21 11:22:10.292200
14531993,55425265,Private room,,24,4,5.0,2,1.0,37.0,,56.153427,10.188704,2017-01-21 11:22:10.288112
13944590,82977138,Private room,,24,2,0.0,3,1.0,30.0,,56.15718,10.185154,2017-01-21 11:22:10.275680
14803145,17356304,Private room,,24,0,0.0,2,1.0,37.0,,56.157874,10.184596,2017-01-21 11:22:10.270378
14259426,18872624,Private room,,24,29,5.0,2,1.0,37.0,,56.162152,10.203385,2017-01-21 11:22:10.267086
7255482,1739307,Private room,,24,6,4.5,2,1.0,37.0,,56.15841,10.184872,2017-01-21 11:22:10.262109
7556249,36590170,Private room,,24,1,0.0,2,1.0,31.0,,56.161567,10.196895,2017-01-21 11:22:10.257590
10249915,52673375,Private room,,10,3,5.0,2,1.0,37.0,,56.151426,10.134919,2017-01-21 11:22:09.084855
4865124,15946722,Private room,,2,10,4.5,2,1.0,38.0,,56.126075,10.19092,2017-01-21 11:22:09.081978
7480343,39171411,Private room,,2,0,0.0,4,1.0,37.0,,56.123021,10.134778,2017-01-21 11:22:07.841409
15432799,51680403,Private room,,5,2,0.0,2,1.0,30.0,,56.201634,10.199178,2017-01-21 11:22:06.492280
9360212,48572793,Private room,,4,0,0.0,2,1.0,30.0,,56.175905,10.213056,2017-01-21 11:22:06.486045
16175038,105598213,Private room,,10,0,0.0,3,1.0,37.0,,56.156711,10.119684,2017-01-21 11:22:05.155070
10201861,52410057,Private room,,24,1,0.0,2,1.0,32.0,,56.159667,10.208719,2017-01-21 11:22:05.150928
13455300,76100184,Private room,,24,6,4.5,2,1.0,37.0,,56.156885,10.189627,2017-01-21 11:22:05.145695
13413705,39258042,Private room,,2,17,4.5,2,1.0,31.0,,56.142239,10.185396,2017-01-21 11:22:05.142829
14360794,34123764,Private room,,9,4,5.0,2,1.0,35.0,,56.1366,10.123195,2017-01-21 11:22:05.139625
7470822,38670225,Private room,,3,4,4.5,2,1.0,33.0,,56.178108,10.166406,2017-01-21 11:22:05.135268
7222415,16607013,Private room,,24,2,0.0,2,1.0,30.0,,56.172881,10.214008,2017-01-21 11:22:05.132610
16682549,16869974,Private room,,6,0,0.0,2,0.0,27.0,,56.157397,10.181515,2017-01-21 11:22:05.124467
11995224,54056053,Private room,,24,0,0.0,2,1.0,41.0,,56.172689,10.215436,2017-01-21 11:22:03.760703
10064924,51648079,Private room,,24,0,0.0,2,1.0,37.0,,56.161166,10.210652,2017-01-21 11:22:03.758219
10990576,26860054,Private room,,5,8,4.0,4,1.0,18.0,,56.198595,10.206151,2017-01-21 11:22:03.754687
13195402,73891789,Private room,,24,4,5.0,2,1.0,14.0,,56.157251,10.188886,2017-01-21 11:22:03.751584
10579503,7934914,Private room,,24,3,5.0,2,1.0,31.0,,56.160792,10.199968,2017-01-21 11:22:03.743022
16648537,101359054,Private room,,5,0,0.0,4,2.0,30.0,,56.197743,10.194587,2017-01-21 11:22:01.471279
11692254,30406585,Private room,,10,0,0.0,4,1.0,221.0,,56.158968,10.113344,2017-01-21 11:21:59.211253
5856267,30406585,Private room,,10,2,0.0,2,1.0,221.0,,56.160937,10.113872,2017-01-21 11:21:59.207765
13178087,73690307,Private room,,24,0,0.0,2,1.0,147.0,,56.156541,10.18931,2017-01-21 11:21:56.889544
7120306,37299364,Private room,,2,0,0.0,2,1.0,140.0,,56.13994,10.187105,2017-01-21 11:21:55.727485
6588171,24396250,Private room,,24,0,0.0,2,1.0,133.0,,56.151459,10.204391,2017-01-21 11:21:55.725202
16614886,109668388,Private room,,1,0,0.0,2,1.0,140.0,,56.141004,10.202058,2017-01-21 11:21:55.721842
12460260,45746431,Private room,,3,0,0.0,3,1.0,121.0,,56.165915,10.176411,2017-01-21 11:21:54.303862
7487517,39097216,Private room,,6,2,0.0,2,1.0,118.0,,56.155914,10.16935,2017-01-21 11:21:54.301380
16719595,109668388,Private room,,1,0,0.0,2,1.0,107.0,,56.139986,10.20172,2017-01-21 11:21:54.297365
1762940,4962194,Private room,,24,0,0.0,4,1.0,89.0,,56.148228,10.198184,2017-01-21 11:21:53.065265
1087861,2485322,Private room,,24,12,4.0,2,1.0,88.0,,56.16224,10.201453,2017-01-21 11:21:53.062377
1169048,6401712,Private room,,24,0,0.0,1,1.0,84.0,,56.159717,10.209981,2017-01-21 11:21:53.059436
7569312,15949092,Private room,,24,0,0.0,2,1.0,89.0,,56.145733,10.190921,2017-01-21 11:21:53.056826
4217343,21887821,Private room,,3,0,0.0,2,1.0,103.0,,56.1668,10.181981,2017-01-21 11:21:53.049323
2518392,6435422,Private room,,24,4,5.0,1,1.0,88.0,,56.155998,10.206963,2017-01-21 11:21:53.047034
12517023,14246684,Private room,,24,1,0.0,2,1.0,96.0,,56.171446,10.218788,2017-01-21 11:21:53.044280
3273254,15946722,Private room,,2,1,0.0,4,2.0,89.0,,56.126517,10.190528,2017-01-21 11:21:53.036844
13549660,78006744,Private room,,6,0,0.0,1,1.0,103.0,,56.155646,10.169628,2017-01-21 11:21:53.033792
4758629,24554039,Private room,,24,0,0.0,2,1.0,89.0,,56.154654,10.206578,2017-01-21 11:21:53.030688
3619441,16816075,Private room,,24,32,4.5,6,1.0,89.0,,56.154763,10.20959,2017-01-21 11:21:53.027597
16713635,7735938,Private room,,11,0,0.0,4,2.0,84.0,,56.191595,10.149856,2017-01-21 11:21:53.025029
12841801,70120763,Private room,,11,0,0.0,1,1.0,103.0,,56.202821,10.155169,2017-01-21 11:21:53.022656
14610306,45380678,Private room,,1,7,4.5,3,1.0,96.0,,56.139816,10.196072,2017-01-21 11:21:53.019773
13798437,81123098,Private room,,24,0,0.0,2,1.0,89.0,,56.158338,10.192863,2017-01-21 11:21:53.016611
986830,4961330,Private room,,4,6,4.5,2,1.0,74.0,,56.175088,10.192876,2017-01-21 11:21:50.677495
6003785,31165626,Private room,,24,14,4.5,2,1.0,74.0,,56.167303,10.228072,2017-01-21 11:21:50.675303
1665374,7718875,Private room,,24,0,0.0,1,1.0,79.0,,56.158712,10.200701,2017-01-21 11:21:50.672857
13824144,3254654,Private room,,24,5,5.0,2,1.0,74.0,,56.16251,10.20593,2017-01-21 11:21:50.668910
12451817,44932890,Private room,,1,4,4.5,2,1.0,67.0,,56.132832,10.209143,2017-01-21 11:21:50.666366
1669556,2204704,Private room,,24,21,4.5,2,1.0,80.0,,56.145159,10.202872,2017-01-21 11:21:50.662408
14073378,5049368,Private room,,24,0,0.0,2,1.0,68.0,,56.155309,10.195009,2017-01-21 11:21:50.660326
15780563,102056240,Private room,,24,2,0.0,2,1.0,67.0,,56.154773,10.197476,2017-01-21 11:21:50.657756
3222035,16315813,Private room,,24,0,0.0,2,1.0,72.0,,56.164976,10.201618,2017-01-21 11:21:50.655281
7810415,16166134,Private room,,24,0,0.0,3,1.0,77.0,,56.148908,10.205165,2017-01-21 11:21:50.652586
3612963,18204354,Private room,,24,0,0.0,2,1.0,74.0,,56.159225,10.202793,2017-01-21 11:21:50.649846
6669921,17778723,Private room,,24,0,0.0,2,1.0,74.0,,56.171129,10.210097,2017-01-21 11:21:50.646946
15077132,45380678,Private room,,1,0,0.0,2,1.0,81.0,,56.139283,10.196428,2017-01-21 11:21:50.643363
13777354,80877118,Private room,,24,0,0.0,3,1.0,67.0,,56.155104,10.19749,2017-01-21 11:21:50.639577
8572129,44932890,Private room,,1,5,4.5,2,1.0,67.0,,56.132292,10.21059,2017-01-21 11:21:50.636329
16753012,27300004,Private room,,24,0,0.0,2,1.0,67.0,,56.152601,10.20438,2017-01-21 11:21:43.409173
14216028,15781412,Private room,,2,1,0.0,2,1.0,63.0,,56.12146,10.14067,2017-01-21 11:21:43.406950
10508879,12155965,Private room,,24,0,0.0,2,1.0,67.0,,56.15894,10.213086,2017-01-21 11:21:43.404551
10225889,52548000,Private room,,24,0,0.0,2,1.0,74.0,,56.152648,10.206633,2017-01-21 11:21:43.402439
15504231,99594328,Private room,,24,0,0.0,2,1.0,74.0,,56.162274,10.204214,2017-01-21 11:21:43.400155
16541945,16367068,Private room,,24,0,0.0,1,1.0,67.0,,56.147211,10.197117,2017-01-21 11:21:43.397726
11566813,61103867,Private room,,24,0,0.0,2,1.0,74.0,,56.156835,10.183397,2017-01-21 11:21:43.394195
13662655,44990018,Private room,,24,2,0.0,2,1.0,67.0,,56.144479,10.205418,2017-01-21 11:21:43.391594
14591907,16680277,Private room,,24,1,0.0,2,1.0,67.0,,56.156368,10.198103,2017-01-21 11:21:43.389312
893261,2005323,Private room,,24,8,4.5,1,1.0,65.0,,56.171658,10.212843,2017-01-21 11:21:43.386579
13186808,49873614,Private room,,24,2,0.0,2,1.0,74.0,,56.144786,10.191663,2017-01-21 11:21:43.383629
16155710,105446707,Private room,,24,0,0.0,2,1.0,67.0,,56.163436,10.213904,2017-01-21 11:21:43.375158
4600672,23844811,Private room,,24,39,5.0,2,1.0,74.0,,56.147189,10.20584,2017-01-21 11:21:43.372598
16817868,104619742,Private room,,24,0,0.0,1,1.0,67.0,,56.176722,10.218278,2017-01-21 11:21:43.370299
9298440,48272619,Private room,,24,0,0.0,2,1.0,74.0,,56.165304,10.19711,2017-01-21 11:21:43.367978
13023892,38041120,Private room,,6,9,5.0,3,1.0,65.0,,56.155491,10.182681,2017-01-21 11:21:43.365453
13526141,39725715,Private room,,24,9,4.5,2,1.0,71.0,,56.154352,10.211918,2017-01-21 11:21:43.362504
5389263,1966794,Private room,,13,3,4.5,2,1.0,52.0,,56.232478,10.241924,2017-01-21 11:21:41.898930
13991654,29373459,Private room,,2,2,0.0,2,1.0,47.0,,56.127485,10.162621,2017-01-21 11:21:41.896066
10111225,4826381,Private room,,2,0,0.0,5,1.0,52.0,,56.139453,10.176069,2017-01-21 11:21:41.893754
12247242,34662525,Private room,,24,3,5.0,1,1.0,43.0,,56.146523,10.208404,2017-01-21 11:21:41.889282
11672907,61071917,Private room,,24,0,0.0,2,1.0,59.0,,56.145158,10.188592,2017-01-21 11:21:41.885036
13374902,70948310,Private room,,24,2,0.0,2,1.0,54.0,,56.14698,10.191861,2017-01-21 11:21:40.542230
13183512,73733148,Private room,,24,11,4.0,4,1.0,44.0,,56.147305,10.186089,2017-01-21 11:21:40.539833
7301817,38247541,Private room,,24,2,0.0,2,1.0,52.0,,56.150527,10.200382,2017-01-21 11:21:40.535531
12503248,67706597,Private room,,24,1,0.0,2,1.0,44.0,,56.158018,10.212726,2017-01-21 11:21:40.527990
13500519,77364871,Private room,,24,4,5.0,2,1.0,59.0,,56.15238,10.187432,2017-01-21 11:21:40.525789
6711896,31994444,Private room,,24,4,5.0,2,1.0,44.0,,56.159094,10.2109,2017-01-21 11:21:40.522251
14961711,30004300,Private room,,24,1,0.0,2,1.0,59.0,,56.160265,10.213172,2017-01-21 11:21:40.520123
13406599,76330491,Private room,,6,2,0.0,2,1.0,44.0,,56.15378,10.1814,2017-01-21 11:21:40.514056
5235962,6370732,Private room,,24,8,5.0,2,1.0,44.0,,56.156046,10.196053,2017-01-21 11:21:40.511915
11525342,60767517,Private room,,24,29,5.0,2,1.0,59.0,,56.155812,10.193514,2017-01-21 11:21:40.508531
1821842,8947619,Private room,,3,0,0.0,6,1.0,55.0,,56.169302,10.15179,2017-01-21 11:21:38.998669
4186865,10176409,Private room,,24,50,5.0,2,1.0,42.0,,56.161052,10.21548,2017-01-21 11:21:38.992936
9418400,27700799,Private room,,24,1,0.0,2,1.0,52.0,,56.166097,10.229504,2017-01-21 11:21:38.987723
941099,5087070,Private room,,24,4,5.0,1,1.0,55.0,,56.156718,10.203448,2017-01-21 11:21:38.985543
1292071,7025303,Private room,,24,66,5.0,2,1.0,44.0,,56.152163,10.208473,2017-01-21 11:21:38.981603
11672976,61071917,Private room,,24,1,0.0,2,1.0,59.0,,56.145082,10.188022,2017-01-21 11:21:38.979363
5783511,15326030,Private room,,24,17,5.0,2,1.0,43.0,,56.146907,10.208431,2017-01-21 11:21:38.977065
13419112,2318314,Private room,,3,1,0.0,2,1.0,55.0,,56.176754,10.175582,2017-01-21 11:21:38.974149
2225722,8537913,Private room,,24,17,4.5,2,1.0,48.0,,56.16316,10.213261,2017-01-21 11:21:38.969228
1259324,6193751,Private room,,24,3,0.0,1,1.0,59.0,,56.157154,10.209012,2017-01-21 11:21:38.964812
12974477,71411061,Private room,,24,1,0.0,2,1.0,59.0,,56.153873,10.188794,2017-01-21 11:21:38.960568
13508960,11060384,Private room,,24,2,0.0,2,1.0,44.0,,56.158934,10.197053,2017-01-21 11:21:38.956692
2463864,9115467,Private room,,11,2,0.0,2,1.0,43.0,,56.170785,10.125342,2017-01-21 11:21:38.953328
7454987,6640438,Private room,,24,0,0.0,2,1.0,52.0,,56.153044,10.212079,2017-01-21 11:21:37.831083
9060113,1966794,Private room,,13,0,0.0,2,1.0,52.0,,56.23249,10.245496,2017-01-21 11:21:37.825752
7745962,27716251,Private room,,2,2,0.0,1,1.0,44.0,,56.119812,10.15235,2017-01-21 11:21:37.819595
861078,4511363,Private room,,6,13,4.5,2,1.0,45.0,,56.155124,10.149335,2017-01-21 11:21:37.817069
11672591,61071917,Private room,,24,0,0.0,2,1.0,59.0,,56.145081,10.188284,2017-01-21 11:21:37.814026
6761361,6601197,Private room,,24,34,5.0,2,1.0,45.0,,56.156934,10.212331,2017-01-21 11:21:37.809661
11668242,17866620,Private room,,24,9,4.5,2,1.0,43.0,,56.170699,10.216358,2017-01-21 11:21:37.806563
4600323,23843383,Private room,,2,0,0.0,1,1.0,56.0,,56.121391,10.137966,2017-01-21 11:21:37.804168
11005247,57107111,Private room,,24,4,5.0,2,1.0,48.0,,56.172071,10.213446,2017-01-21 11:21:37.801777
4986910,22443973,Private room,,24,4,4.5,4,1.0,52.0,,56.1586,10.20795,2017-01-21 11:21:37.797317
6842709,35119098,Private room,,24,0,0.0,2,1.0,43.0,,56.14872,10.19656,2017-01-21 11:21:37.786264
5713963,11959886,Private room,,24,17,4.5,2,1.0,50.0,,56.159666,10.202491,2017-01-21 11:21:36.231518
12790950,57996583,Private room,,24,9,4.5,2,1.0,52.0,,56.155193,10.208863,2017-01-21 11:21:36.221664
11997434,950501,Private room,,24,0,0.0,1,1.0,44.0,,56.15453,10.19624,2017-01-21 11:21:36.219588
13042264,72139773,Private room,,4,10,5.0,3,1.0,44.0,,56.169526,10.193056,2017-01-21 11:21:36.217500
12335974,8691415,Private room,,24,0,0.0,2,1.0,57.0,,56.146736,10.19196,2017-01-21 11:21:36.215169
3407053,10018736,Private room,,24,7,4.5,2,1.0,48.0,,56.145033,10.202369,2017-01-21 11:21:36.213046
6333567,32970069,Private room,,24,0,0.0,2,1.0,47.0,,56.155184,10.210353,2017-01-21 11:21:36.208677
15669034,101186725,Private room,,4,0,0.0,2,1.0,52.0,,56.176096,10.208085,2017-01-21 11:21:36.206360
16506019,83515016,Private room,,24,0,0.0,2,1.0,44.0,,56.160502,10.213003,2017-01-21 11:21:36.204023
