room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
8871114,1353,24857179,Entire home/apt,,Aarhus,,24,4,5.0,2,1.0,,94.0,,2 værelses lejlighed i Ø-kvarteret,2017-06-19 08:51:01.693141,56.162787,10.199732,0101000020E6100000E9EDCF4543662440639B5434D6144C40
13404435,1353,67489244,Entire home/apt,,Aarhus,,24,16,5.0,4,1.0,,101.0,,Bright & spacious two floor apartment,2017-06-19 08:51:00.196623,56.161877,10.209446,0101000020E6100000588E90813C6B2440BF7CB262B8144C40
14149293,1353,14666985,Entire home/apt,,Aarhus,,24,1,0.0,3,0.0,,90.0,,Cozy three bedroom city apartment,2017-06-19 08:51:00.182807,56.146285,10.201754,0101000020E6100000A3ACDF4C4C6724409B728577B9124C40
13574058,1353,27090632,Entire home/apt,,Aarhus,,24,1,0.0,4,1.0,,93.0,,Lovely appartement i center of Aarhus,2017-06-19 08:51:00.175457,56.157051,10.200823,0101000020E6100000B891B245D2662440ED66463F1A144C40
17004767,1353,14848738,Entire home/apt,,Aarhus,,24,2,0.0,3,1.0,,101.0,,Best location in town!,2017-06-19 08:51:00.171997,56.159834,10.208561,0101000020E61000002E71E481C86A2440F964C57075144C40
13517684,1353,34904643,Entire home/apt,,Aarhus,,24,2,0.0,4,3.0,,84.0,,Large modern apartment near the beach,2017-06-19 08:51:00.168171,56.162477,10.21485,0101000020E61000005917B7D1006E244015ADDC0BCC144C40
6673528,1353,34881706,Entire home/apt,,Aarhus,,24,3,5.0,3,1.0,,93.0,,Lækker lejlighed i hjertet af Aarhus,2017-06-19 08:50:55.920921,56.15826,10.194517,0101000020E6100000350873BB97632440EA211ADD41144C40
16625229,1353,37225115,Entire home/apt,,Aarhus,,24,0,0.0,5,2.0,,93.0,,Green Eco Club Apartment in the city center,2017-06-19 08:50:46.950722,56.15994,10.201007,0101000020E6100000BE88B663EA6624403FA9F6E978144C40
18752245,1353,130460282,Entire home/apt,,Aarhus,,24,0,0.0,4,2.0,,93.0,,Wonderfull 3 room apartment in the heart of Aarhus,2017-06-19 08:50:42.024119,56.156873,10.201782,0101000020E6100000CBD765F84F6724400D501A6A14144C40
3753203,1353,9022576,Entire home/apt,,Aarhus,,13,7,4.5,5,3.0,,93.0,,Lovely family friendly house.,2017-06-19 08:50:33.649936,56.247374,10.24054,0101000020E61000007AC2120F287B2440BBF083F3A91F4C40
7494625,1353,39252877,Entire home/apt,,Aarhus,,24,9,5.0,2,1.0,,85.0,,"Best location, cosy apartment",2017-06-19 08:50:23.820428,56.14744,10.206824,0101000020E6100000490ED8D5E4692440A60F5D50DF124C40
16599501,1353,4544488,Entire home/apt,,Aarhus,,24,3,5.0,2,1.0,,90.0,,Lovely spacious flat with amazing kitchen area,2017-06-19 08:50:22.178651,56.148145,10.190097,0101000020E6100000AB22DC64546124407008556AF6124C40
1650216,1353,8752802,Entire home/apt,,Aarhus,,24,4,5.0,5,2.0,,101.0,,"Great apartment in townhouse, city center",2017-06-19 08:50:19.072585,56.149262,10.201464,0101000020E610000087A4164A266724408D4468041B134C40
10896872,1353,53712988,Entire home/apt,,Aarhus,,24,0,0.0,2,1.0,,85.0,,Lovely appartment in Aarhus C,2017-06-19 08:50:17.341505,56.154333,10.202546,0101000020E610000009DFFB1BB4672440C7D8092FC1134C40
19077742,1353,35094741,Entire home/apt,,Aarhus,,24,0,0.0,4,1.0,,96.0,,New appartment + terracce in the heart of Aarhus,2017-06-19 08:50:14.329207,56.15531,10.202713,0101000020E6100000B6F292FFC9672440F25EB532E1134C40
16929210,1353,15769740,Entire home/apt,,Aarhus,,24,0,0.0,4,1.0,,85.0,,Cosy cityhouse with own garden,2017-06-19 08:50:14.307299,56.148542,10.202143,0101000020E61000000C3B8C497F6724408D0A9C6C03134C40
16978856,1353,113627889,Entire home/apt,,Aarhus,,24,4,5.0,6,2.0,,85.0,,Big apartment in the heart of Aarhus,2017-06-19 08:50:11.342593,56.146096,10.20856,0101000020E6100000ED815660C86A2440C8091346B3124C40
3335894,1353,16843048,Entire home/apt,,Aarhus,,24,41,5.0,4,1.0,,101.0,,Wonderful n' cosy 3 room apartment,2017-06-19 08:50:11.340271,56.143929,10.203484,0101000020E6100000BE840A0E2F68244016F9F5436C124C40
13602745,1353,51888311,Entire home/apt,,Aarhus,,24,2,0.0,4,2.0,,93.0,,"Modern Penthouse - unique location, panoramic view",2017-06-19 08:50:09.917670,56.156998,10.206483,0101000020E6100000255CC823B8692440CAC4AD8218144C40
18383408,1353,57892212,Entire home/apt,,Aarhus,,24,5,5.0,4,1.0,,85.0,,Apartment near the Latin Quarter in central Aarhus,2017-06-19 08:50:08.770780,56.160424,10.212435,0101000020E6100000300DC347C46C24402BBF0CC688144C40
